T;V;P;PI;
307.883;166.557;126.965;125.4271885;
307.883;166.396;126.965;125.5485482;
307.883;166.235;127.504;125.6701431;
307.883;166.075;127.504;125.7912162;
307.883;165.914;127.504;125.9132818;
307.883;165.753;127.504;126.0355845;
307.883;165.753;128.043;126.0355845;
307.883;165.593;128.043;126.1573631;
307.883;165.432;128.043;126.2801407;
307.883;165.272;128.043;126.4023926;
307.883;165.111;128.043;126.5256478;
307.883;164.79;128.043;126.7721114;
307.883;164.79;128.582;126.7721114;
307.883;164.629;128.582;126.896089;
307.883;164.629;128.043;126.896089;
307.883;164.308;128.582;127.1439993;
307.883;164.147;128.582;127.2687057;
307.182;164.147;129.121;127.2687057;
307.883;164.147;129.121;127.2687057;
307.883;163.986;129.121;127.393657;
307.182;163.826;128.582;127.5180755;
307.883;163.826;129.121;127.5180755;
307.182;163.826;129.659;127.5180755;
307.182;163.826;129.121;127.5180755;
307.883;163.826;129.659;127.5180755;
307.182;163.504;129.659;127.7692058;
306.831;163.504;129.659;127.7692058;
307.182;163.344;129.659;127.8943593;
306.831;163.344;129.659;127.8943593;
306.831;163.183;129.659;128.0205428;
306.48;163.183;129.659;128.0205428;
306.831;163.022;129.659;128.1469754;
306.831;162.862;129.659;128.2728705;
306.48;162.862;129.659;128.2728705;
306.831;162.701;129.659;128.3998023;
306.831;162.54;129.659;128.5269855;
306.48;162.54;129.659;128.5269855;
306.48;162.54;130.198;128.5269855;
306.48;162.219;130.198;128.7813156;
306.48;162.058;130.198;128.9092561;
306.48;161.898;130.198;129.0366541;
306.48;161.737;130.198;129.1651028;
306.48;161.577;130.198;129.2930072;
306.48;161.577;130.737;129.2930072;
306.48;161.416;130.737;129.421967;
306.48;161.255;130.737;129.5511843;
306.13;161.255;131.276;129.5511843;
306.48;161.095;131.276;129.6798549;
306.48;160.934;131.276;129.809588;
306.48;160.773;131.276;129.9395808;
306.48;160.613;131.276;130.0690245;
306.48;160.613;131.815;130.0690245;
306.48;160.452;131.276;130.1995377;
306.48;160.452;131.815;130.1995377;
306.48;160.291;131.276;130.3303132;
306.13;160.291;131.815;130.3303132;
306.48;160.291;131.815;130.3303132;
306.13;160.131;131.276;130.4605369;
306.13;160.131;131.815;130.4605369;
306.13;159.97;131.815;130.5918374;
306.13;159.97;132.353;130.5918374;
306.48;159.97;132.353;130.5918374;
306.13;159.649;132.353;130.8544133;
306.13;159.327;132.353;131.1188702;
306.13;159.488;132.353;130.9865083;
306.13;159.167;132.353;131.2506753;
306.13;159.167;132.892;131.2506753;
306.13;159.006;132.353;131.3835719;
306.13;159.006;132.892;131.3835719;
306.48;159.006;132.892;131.3835719;
306.13;158.685;132.892;131.6493445;
306.13;158.845;132.892;131.5167379;
306.48;158.685;132.892;131.6493445;
306.13;158.685;133.431;131.6493445;
305.779;158.685;133.431;131.6493445;
306.13;158.203;133.431;132.050443;
306.13;158.363;133.431;131.9170275;
305.779;158.203;133.97;132.050443;
306.13;158.042;133.431;132.1849649;
306.13;157.881;133.97;132.3197613;
306.48;157.721;133.97;132.453993;
306.13;157.721;133.97;132.453993;
306.13;157.56;133.97;132.5893389;
306.48;157.56;133.97;132.5893389;
305.779;157.4;133.97;132.7241184;
306.13;157.4;133.97;132.7241184;
305.779;157.4;134.509;132.7241184;
305.779;157.078;133.97;132.9961944;
305.779;157.078;134.509;132.9961944;
305.779;156.918;134.509;133.1318028;
305.779;156.757;134.509;133.2685381;
305.779;156.596;134.509;133.4055546;
305.779;156.436;135.047;133.5419995;
305.779;156.275;135.047;133.6795791;
305.779;156.114;135.047;133.8174426;
305.779;156.114;135.586;133.8174426;
305.779;155.954;135.586;133.9547317;
305.779;155.793;135.586;134.0931636;
305.779;155.632;135.586;134.2318818;
305.779;155.472;135.586;134.3700231;
305.779;155.311;135.586;134.5093151;
305.779;155.311;136.125;134.5093151;
305.779;155.15;136.125;134.6488961;
305.779;154.99;136.125;134.7878975;
305.428;154.99;136.664;134.7878975;
305.779;154.829;136.125;134.9280576;
305.428;154.99;136.125;134.7878975;
305.428;154.829;136.664;134.9280576;
305.428;154.508;136.664;135.208379;
305.428;154.347;136.664;135.3494155;
305.428;154.186;136.664;135.4907464;
305.077;154.026;136.664;135.6314923;
305.428;154.026;137.203;135.6314923;
305.077;153.865;137.203;135.7734133;
305.428;153.704;137.203;135.9156315;
305.428;153.544;137.742;136.057262;
305.428;153.223;137.742;136.3423;
305.779;153.062;138.28;136.4857132;
305.428;152.901;138.28;136.6294284;
305.428;152.741;138.819;136.7725511;
305.428;152.58;138.28;136.9168713;
305.779;152.419;138.819;137.0614965;
305.779;152.259;138.819;137.2055263;
305.428;152.259;138.819;137.2055263;
305.428;151.937;138.819;137.4963059;
305.428;151.777;138.819;137.6412515;
305.077;151.777;139.358;137.6412515;
305.428;151.616;139.897;137.7874118;
305.077;151.616;139.358;137.7874118;
305.428;151.455;139.897;137.9338829;
305.077;151.295;139.897;138.079753;
305.077;151.134;139.897;138.2268466;
305.428;150.973;139.897;138.3742539;
305.077;150.973;140.436;138.3742539;
305.077;150.652;140.436;138.6690932;
305.077;150.652;140.974;138.6690932;
305.077;150.491;140.436;138.8174458;
305.077;150.491;140.974;138.8174458;
305.077;150.331;140.974;138.9651917;
304.025;150.491;140.974;138.8174458;
304.025;150.331;140.974;138.9651917;
304.376;150.331;140.974;138.9651917;
303.674;150.331;140.436;138.9651917;
303.323;150.331;140.436;138.9651917;
302.973;150.331;140.974;138.9651917;
300.868;150.331;140.974;138.9651917;
300.868;150.331;140.436;138.9651917;
300.517;150.331;140.974;138.9651917;
300.517;150.17;140.436;139.1141788;
300.166;150.331;140.436;138.9651917;
300.166;150.17;140.436;139.1141788;
299.816;150.17;140.436;139.1141788;
300.166;150.009;140.436;139.2634857;
300.166;150.009;140.974;139.2634857;
300.166;149.849;140.974;139.4121831;
300.166;149.688;140.974;139.5621308;
300.166;149.527;141.513;139.7124013;
300.517;149.367;141.513;139.8620594;
300.166;149.206;141.513;140.0129769;
300.517;149.046;142.052;140.16328;
300.166;149.046;141.513;140.16328;
300.166;149.046;142.052;140.16328;
300.166;148.885;142.052;140.3148486;
300.517;148.724;142.591;140.4667453;
300.517;148.724;142.052;140.4667453;
300.166;148.724;142.591;140.4667453;
300.166;148.564;142.591;140.6180248;
